MIP name,Expt. Name,Priority,# years per ensemble member,#realizations,CESM2-BGC (1-degree),CESM2 WACCM (1-degree),CESM2 SE (1/4-degree),B case,F case,G case,I case,Owner,Status,Notes
DECK,Control,1,1000,1,1,0,0,1,0,0,0,,,
,Control WACCM,1,500,1,0,1,0,1,0,0,0,,,
,Control high-res,1,175,1,0,0,1,1,0,0,0,,,
,1% to 4x,1,150,1,1,1,0,1,0,0,0,,,
,4xCO2,1,150,1,1,1,0,1,0,0,0,,,
,AMIP (1979-2014),1,35,1,1,1,0,0,1,0,0,,,
Historical,1850-2014,1,165,10,1,0,0,1,0,0,0,,,
Historical WACCM,1850-2014,1,165,3,0,1,0,1,0,0,0,,,
AerChemMIP,hist-piNTCF,,165,3,0,1,0,1,0,0,0,,,
,hist-1950HC,,65,3,0,1,0,1,0,0,0,,,
,histSST,,165,1,0,1,0,0,1,0,0,,,
,histSST-piNTCF,,165,1,0,1,0,0,1,0,0,,,
,histSST-1950HC,,65,1,0,1,0,0,1,0,0,,,
,histSST-piCH4,,165,1,0,1,0,0,1,0,0,,,
,ssp370,,85,2,0,1,0,1,0,0,0,,, One SSP3-7 already done as part of ScenarioMIP
,ssp370-lowNTCF,,85,3,0,1,0,1,0,0,0,,,
,ssp370SST,,41,1,0,1,0,0,1,0,0,,,
,ssp370SST-lowNTCF,,41,1,0,1,0,0,1,0,0,,,
,ssp370SST-lowAer,,41,1,0,1,0,0,1,0,0,,,
,ssp370SST-lowBC,,41,1,0,1,0,0,1,0,0,,,
,ssp370SST-lowO3,,41,1,0,1,0,0,1,0,0,,,
,piSSTclim,,30,1,0,1,0,0,1,0,0,,,
,piSSTclim-NTCF,,30,1,0,1,0,0,1,0,0,,,
C4MIP,1%BGC,,140,1,1,0,0,1,0,0,0,,,
,esmssp5-85,,85,1,1,0,0,1,0,0,0,,,
CFMIP,amip-p4K,1,36,1,1,0,0,0,1,0,0,,,
,amip-4xCO2,2,36,1,1,0,0,0,1,0,0,,,
,amip-future4K,2,36,1,1,0,0,0,1,0,0,,,
,aqua-control,1,10,1,1,0,0,0,1,0,0,,,
,aqua-p4K,1,10,1,1,0,0,0,1,0,0,,,
,aqua-p4xCO2,2,10,1,1,0,0,0,1,0,0,,,
DAMIP,histALL,,6,10,1,0,0,1,0,0,0,,,2015-2020 extension to historical
,histNAT,,165,3,1,1,0,1,0,0,0,,,
,histGHG,,165,3,1,1,0,1,0,0,0,,,
,histAER,,165,3,1,0,0,1,0,0,0,,,
DCPP,A1,,300,10,1,0,0,1,0,0,0,,,Number of starting years * number of simulated years = # years
,C1.1,,10,25,1,0,0,1,0,0,0,,,
,C1.2,,10,25,1,0,0,1,0,0,0,,,
,C1.3,,10,25,1,0,0,1,0,0,0,,,
,C1.4,,10,10,1,0,0,1,0,0,0,,,
,C1.5,,10,10,1,0,0,1,0,0,0,,,
,C1.6,,10,10,1,0,0,1,0,0,0,,,
,C3.1,,10,10,1,0,0,1,0,0,0,,,
,C3.4,,10,10,1,0,0,1,0,0,0,,,
GeoMIP6,G1ext,,50,1,0,1,0,1,0,0,0,,,
,G6sulfur,,81,3,0,1,0,1,0,0,0,,,
,G6solar,,81,3,0,1,0,1,0,0,0,,,
,G7cirrus,,81,3,0,1,0,1,0,0,0,,,
GMMIP,AMIP20C (1870-2014),,145,1,0,0,1,0,1,0,0,,,
HighResMIP,AMIP (1950-2014),,65,1,0,0,1,0,1,0,0,,,1950-2015
ISMIP6,PI Control,,650,1,1,0,0,1,0,0,0,,,
LS3MIP,Land-Hist,,165,2,1,0,0,0,0,0,1,,,
,LFMIP-pdLC,,121,1,1,0,0,1,0,0,0,,,
,LFMIP-rmLC,,121,1,1,0,0,1,0,0,0,,,
LUMIP,deforest-glob,,80,1,1,0,0,0,0,0,1,,,
,land-hist,,165,1,1,0,0,1,0,0,0,,,
,land-hist-alt-start-year,,165,1,1,0,0,1,0,0,0,,,
,land-NoLu,,165,1,1,0,0,1,0,0,0,,,
OMIP,OMIP1,,310,1,1,0,0,0,0,1,0,,,
PMIP4,Last Millenium,,1000,3,1,0,0,1,0,0,0,,,
,Mid Holocene,,700,1,1,0,0,1,0,0,0,,,
,Last Glacial Maximum,,700,1,1,0,0,1,0,0,0,,,
,Last Interglacial,,700,1,1,0,0,1,0,0,0,,,
,Mid-Pliocene,,700,1,1,0,0,1,0,0,0,,,
RFMIP,RFMIP-ERF-PI-Cntrl,,30,1,1,0,0,0,1,0,0,,,
,RFMIP-ERF-Anthro,,30,1,1,0,0,0,1,0,0,,,
,RFMIP-ERF-GHG,,30,1,1,0,0,0,1,0,0,,,
,RFMIP-ERF-AerO3,,30,1,1,0,0,0,1,0,0,,,
,RFMIP-ERF-LU,,30,1,1,0,0,0,1,0,0,,,
,RFMIP-ERF-4xCO2,,30,1,1,0,0,0,1,0,0,,,
ScenarioMIP,SSP5-8.5,,85,1,1,1,0,1,0,0,0,,,
,SSP3-7,,85,1,1,1,0,1,0,0,0,,,
,SSP3-7 Large Ensemble,,85,9,1,0,0,1,0,0,0,,,Tier 2
,SSP2-4.5,,85,1,1,1,0,1,0,0,0,,,
,SSP1-2.6,,85,1,1,1,0,1,0,0,0,,,
VolMIP,volc-long-eq,,20,9,0,1,0,1,0,0,0,,,
,volc-pinatubo-full,,25,3,0,1,0,1,0,0,0,,,
,volc-pinatubo-surf,,25,3,0,1,0,1,0,0,0,,,
,volc-pinatubo-strat,,25,3,0,1,0,1,0,0,0,,,